product_id	product_name	duration
3280	西峡谷玻璃桥巴士之旅/Grand Canyon West Rim Bus Tour with Skywalk	null
3282	北峡谷陆空直升机,吉普车之旅/Grand Canyon North Rim Helicopter & Jeep Sunset Tour	null
3283	大峡谷陆空漂流探险之旅(空调客机,Jeep车,充气阀)/Grand Canyon River Adventure Airplane, Jeep & Smooth Water Float Combination Tour	null
3284	西峡谷 空中+小船精致游 (豪华直升机)/Over the Edge Tour from Grand Canyon West Rim	null
3292	San Francisco Golden Gate Bike Tour	null
3319	Boston Whale Watch Cruise	null
3358	摄魂尼亚加拉大瀑布精髓之旅American Adventure Tour	null
3366	胡佛大坝探索之旅	null
3435	胡佛大坝升级之旅/ 科罗拉多河游船之旅	null
3436	红岩峡谷品质游/Red Rock Canyon Tour	null
3438	埃尔拉多大峡谷之旅/Eldorado Canyon Tour	null
3439	火焰峡谷之旅/Valley of Fire Tour	null
3440	探险锡安国家公园，吉普车精品小团一日游/Zion National Park Tour w/ PINK JEEP Tours (英文团) 	null
3441	探险死亡谷，吉普车精品小团一日游/Death Valley National Park Tour(英文团) 	null
3481	一日温哥华浪漫之旅	null
3482	一日维多利亚观光之旅	null
3483	一日惠斯勒观光之旅	null
3486	洛杉矶豪华直升机VIP游/Star VIP Tour—乘贝尔喷气式飞机Bell Jet Ranger(英文团)	null
3495	好莱坞豪华直升机游/Hollywood and More—乘贝尔喷气式飞机Bell Jet Ranger (英文团) 	null
3496	洛杉矶海岸线豪华直升机游/Soarin’ the Shoreline—乘贝尔喷气式飞机/Bell Jet Ranger(英文团)	null
3499	豪华直升机试体验之旅/Sneak Preview—乘贝尔喷气式飞机Bell Jet Ranger(英文团) 	null
3503	洛杉矶马利布豪华直升机游/Malibu Grandeur—乘贝尔喷气式飞机Bell Jet Ranger(英文团)	null
3506	洛杉矶豪华直升机休闲游/ Directors Cut —乘贝尔喷气式飞机Bell Jet Ranger(英文团)	null
3515	洛杉矶豪华直升机全景游/The Oscar —乘贝尔喷气式飞机Bell Jet Ranger(英文团)	null
3516	洛杉矶豪华直升机VIP游/Star VIP Tour—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3517	好莱坞豪华直升机游/Hollywood and More—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3518	洛杉矶海岸线豪华直升机游/Soarin’ the Shoreline—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3523	豪华直升机试体验之旅/Sneak Preview—乘罗宾逊R44或R22直升机Robinson R44 OR R22 (英文团)	null
3524	洛杉矶马利布豪华直升机游/Malibu Grandeur—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3525	洛杉矶豪华直升机休闲游/ Directors Cut—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3526	洛杉矶豪华直升机全景游/The Oscar—乘罗宾逊R44或R22直升机Robinson R44 OR R22(英文团)	null
3584	百老汇Million Dollar Quartet秀/Million Dollar Quartet Show	null
3588	百老汇Rock of Ages秀/Rock of Ages Show	null
3596	百老汇The Phantom of the Opera秀/The Phantom of the Opera Show 	null
4054	时尚"大苹果"纽约全景观光	null
4087	环球影城门票	null
4088	圣地亚哥海洋世界折扣门票	null
4090	4小时米德湖巡航之旅/Lake Mead Cruise Tour(英文团) 	null
4091	一日好莱坞自由之旅/Hollywood Freedom Tour	null
4092	一日环球影城玩乐之旅 (拉斯维加斯出发)/Universal Studios Tour from LV	null
4097	一日环球影城之旅(品质团)	null
4098	一日圣地亚哥海洋世界欢乐游(品质团)	null
4103	一日迪斯尼乐园精彩游(品质团)	null
4105	一日冒险乐园刺激之旅(品质团)	null
4195	洛杉矶阳光海滩电动自行车休闲之旅(英文团)	null
4379	1 Day to Niagara Falls by Air	null
4391	纽约一日景点观光人文体验之旅十四十五十六十七十八十九七八九十1	null
4392	两大学府神韵, 人气古老集会地昆西市场, 波士顿市中心	null
4572	飞跃内华达，3800英尺高空索道游/Zipline Tour of Boulder City and Lake Mead from 3800ft above sea level(英文团) 	null
4640	两日/迪士尼乐园+冒险【乐】园'门"票两日迪士冒险【乐】园'门"票两日迪士冒险【乐】园'门"票两日迪士	null
4649	胡佛大坝陆地+直升飞机空中之旅/Hoover Dam Bus Tour with Helicopter	null
4827	百老汇MAMMA MIA秀/MAMMA MIA Show(妈妈咪呀)	null
5070	巴黎观光巴士通行券	null
5074	1.5小时巴黎观光巴士之旅	null
5079	2小时巴黎游船晚餐之旅	null
5081	4小时巴黎夜景环游+红磨坊表演观光之旅	null
5087	卢瓦尔河城堡观光之旅(1天)	null
5115	兰斯香槟区葡萄酒品味之旅(1天)	null
5121	6小时峡谷村直销工厂(La Vallee Outlet Shopping Village)购物之旅	null
5311	直升机俯瞰夏威夷青翠与蔚蓝, 以别样角度发现夏威夷之美	null
5313	神圣之地古兰尼, 骑马射击自由挑	null
5314	热情"高尔夫天堂"体验之旅	null
5342	华纳兄弟工作室VIP参观&好莱坞明星豪宅之旅(英文团)	null
5374	test美国东岸经典四大名城, 浪漫尼111111	null
5378	Mystere Show -- Cirque Du Soleil (神秘秀)	null
5386	Ka Show -- Cirque Du Soleil (卡秀)	null
5387	The Beatles Love Show -- Cirque Du Soleil (披头士音乐秀)	null
5393	Criss Angel Believe Show -- Cirque du Soleil (天使克利斯的信念)	null
5606	San Diego LEGOLAND Ticket	null
5623	一日旧金山城市深度游(经典品质团)	null
5625	一日蒙特利海湾及十七里黄金海岸之旅(经典品质团)	null
5627	一日纳帕酒乡品质之旅	null
5713	百态尼亚加拉大瀑布, 活力多伦多情调游	null
5744	Farmers Market/3rd St. Food Tasting Walking Tour	null
5753	Old Pasadena Food Tasting Walking Tour	null
5754	East LA Latin Flavors Tour	null
5818	百老汇Celine Dion秀/Celine Dion Show	null
5853	洛杉矶一日自行车冒险之旅/LA in A Day Bike Tour(英文团)	null
5859	好莱坞自行车精彩之旅/Hollywood Bike Tour(英文团)	null
5860	好莱坞山徒步之旅/Hollywood Hills Day/Sunset Hike(英文团)	null
5935	5-Hour "Beat the Crowd" Mid-Day Expedition Tour	null
5980	此产品Operations设置与生产站一样，请不要修改	null
6078	California Academy of Sciences General Admission	null
6140	Las Vegas Zarkana Show -- Cirque Du Soleil(杂技秀)	null
6178	挑战自我，探索西部：死亡谷一日探险观景之旅/Small Group Tour: Death Valley National Park - Time For Exploration(英文团) 	null
6441	欢乐购物直通快车: 纽约 - 奥特莱斯直销城往返	null
11483	迈阿密市区观光: 万国住宅珊瑚阁, 古巴风情哈瓦那, 惊险刺激"草上飞"	null
11485	私奔到天涯海角: 宏伟七英里, 最南地标柱, 文韵明威居, 斑斓大海滩 	null
11685	1 Day Male City Excursion	null
11751	Amazing Scavenger Hunt Adventure - Denver	null
15000	一日洛杉矶迪士尼乐园欢乐游	null
15055	一日迪士尼冒险乐园欢乐游　	null
15128	33dddd舍大街,协和广场,埃菲尔铁塔,凡尔赛宫,卢浮宫舍大街,协和广场,埃菲尔铁塔,凡尔赛宫,卢浮宫	null
15181	半日企鹅岛之旅	null
15185	悉尼蓝山+野生动物园+三姊妹峰奇幻游(1天)	null
15187	澳大利亚首都堪培拉市区游(1天)	null
15188	悉尼市区游(1天)	null
15189	悉尼南天寺,喷水洞,鲍鱼工厂精彩之旅(1天)	null
15209	金矿城+十二门徒探寻之旅(1天)	null
15210	墨尔本市区+企鹅岛之旅(1天)	null
15315	O Show--Cirque Du Soleil (水秀)	null
15331	V The Ultimate Variety Show--Cirque Du Soleil ( V 秀)	null
15341	大峡谷直升庆典之旅/Grand Canyon Celebration Helicopter Tour from LV McCarran	null
15342	南大峡谷 陆地+空中一日游 (普通小飞机)/Grand Canyon Deluxe Air and Ground Sightseeing Tour	null
15343	西峡谷 陆地+空中一日游 (普通小飞机)/Grand Canyon West Rim Air and Ground Sightseeing with Indian Adventure Tour	null
15351	一日途风洛杉矶独家卡马里奥奥特莱斯购物中心“Camarillo Outlet”购物团	null
